NEE,Temp_C_surface,DO_sat,Chla_ugL,fdom_rfu,Flow_cms,thermo.depth
1,0.2539807922740218,-0.07412649701639243,-0.05734340665344133,0.12014966193817515,0.056594303953027086,-0.02669140987188628
0.2539807922740218,1,-0.08842392646012755,-0.2764050873695544,0.20666530394226712,0.09353012576140281,0.11174185782354502
-0.07412649701639243,-0.08842392646012755,1,0.1253717624376652,-0.06098017388725092,0.3172957298020729,0.019453586996715046
-0.05734340665344133,-0.2764050873695544,0.1253717624376652,1,-0.07077123754490401,-0.21828010696546224,-0.05130957039825316
0.12014966193817515,0.20666530394226712,-0.06098017388725092,-0.07077123754490401,1,0.22214043252224325,-0.08820196576368118
0.056594303953027086,0.09353012576140281,0.3172957298020729,-0.21828010696546224,0.22214043252224325,1,-0.009266025707469904
-0.02669140987188628,0.11174185782354502,0.019453586996715046,-0.05130957039825316,-0.08820196576368118,-0.009266025707469904,1
1,0.5447863093098594,-0.1877854380372563,-0.1470704574055929,0.27458449225160475,0.07683381345064287,-0.06947782712019346
0.5447863093098594,1,-0.09597950156265032,-0.2946465976756909,0.21254831419672018,0.0956370601790637,0.13847941353945203
-0.1877854380372563,-0.09597950156265032,1,0.1257653352373463,-0.07080757142940153,0.33346333611044043,0.019447072431288275
-0.1470704574055929,-0.2946465976756909,0.1257653352373463,1,-0.09544431079103956,-0.22629084009769634,-0.09435538765295931
0.27458449225160475,0.21254831419672018,-0.07080757142940153,-0.09544431079103956,1,0.23983276077961363,-0.10540013802313078
0.07683381345064287,0.0956370601790637,0.33346333611044043,-0.22629084009769634,0.23983276077961363,1,-0.016823203633442006
-0.06947782712019346,0.13847941353945203,0.019447072431288275,-0.09435538765295931,-0.10540013802313078,-0.016823203633442006,1
1,0.643591859761614,-0.24100715191669128,-0.16875344004064477,0.3314466563151368,0.0531543884280057,-0.07679253338849576
0.643591859761614,1,-0.10673255738765322,-0.31725101523093396,0.20163577767252255,0.10879367854769709,0.19004166618648835
-0.24100715191669128,-0.10673255738765322,1,0.09334494330225879,-0.08955767279184826,0.35976521640823717,0.02770091892323588
-0.16875344004064477,-0.31725101523093396,0.09334494330225879,1,-0.11334381923562868,-0.24449158165722912,-0.0945134571275504
0.3314466563151368,0.20163577767252255,-0.08955767279184826,-0.11334381923562868,1,0.26436488728508895,-0.11400144018833684
0.0531543884280057,0.10879367854769709,0.35976521640823717,-0.24449158165722912,0.26436488728508895,1,-0.054174140979492746
-0.07679253338849576,0.19004166618648835,0.02770091892323588,-0.0945134571275504,-0.11400144018833684,-0.054174140979492746,1
1,0.6866787008384494,-0.25188842768976655,-0.28662611912319025,NA,NA,-0.3331992460411204
0.6866787008384494,1,-0.16284205042081487,-0.5039297823177377,NA,NA,-0.08098569332045388
-0.25188842768976655,-0.16284205042081487,1,0.008344921138995383,NA,NA,0.16664402140795276
-0.28662611912319025,-0.5039297823177377,0.008344921138995383,1,NA,NA,-0.11023173562472932
-0.3331992460411204,-0.08098569332045388,0.16664402140795276,-0.11023173562472932,NA,NA,1
